name	ammo	rof	damage	reloadSeconds	range	accuracyRank	tdps	dps	zoom
AS-18 	120 	12 	10 	1.5 	150 	B 	88.8 	120 	 
AS-18R 	200 	30 	5 	2.5 	120 	B 	109.1 	150.1 	 
AS-18D 	10 	3 	60 	1.5 	250 	A 	124.2 	181.8 	 
AS-18RR 	150 	60 	5 	3.0 	120 	B 	109.0 	300 	 
AS-19 	100 	15 	15 	1.5 	180 	B 	170.2 	224.8 	 
AS-19D 	8 	3 	80 	1.5 	250 	A 	153.84 	239.7 	 
AS-19R 	200 	30 	10 	2.5 	120 	C 	218.2 	300 	 
AS-20 	120 	15 	20 	2.0 	150 	B 	240 	300 	 
AS-20D 	10 	4 	120 	3.0 	300 	E 	218.1 	480 	 
AS-20R 	250 	30 	15 	2.5 	150 	A 	347.2 	450.2 	 
AS-20SSS 	150 	12 	40 	2.0 	150 	E 	413.8 	480 	2倍
AS-21 	120 	15 	50 	1.5 	150 	B+ 	631.6 	750 	 
AS-21D 	10 	4 	180 	1.5 	300 	A 	450 	720 	 
AS-21RL 	250 	30 	30 	5.0 	200 	B+ 	562.6 	900.3 	 
AS-22 	140 	12 	80 	2.0 	180 	A 	819.9 	960.5 	2倍
AS-22D 	5 	4 	400 	5.0 	400 	A+ 	320 	1600 	 
AS-22RR 	999 	60 	25 	3.0 	140 	B 	1270.1 	1500 	 
AS-99 	160 	15 	140 	2.0 	180 	A+ 	1639.8 	2101.3 	2倍
AS-99D 	10 	4 	500 	3.0 	400 	A+ 	909 	2000 	
