name	ammo	rof	damage	reloadSeconds	fuseType	fuseSeconds	radius	tdps	dps
Gランチャー-UM-1 	4 	2 	200 	2 	時間 	5 	5 	200 	400
Gランチャー-UM-1A 	4 	2 	100 	2 	接触 	  	5 	100 	200
Gランチャー-UM-2 	4 	2 	400 	3 	時間 	5 	7 	320 	800
Gランチャー-UM-2A 	12 	7.5 	100 	3 	接触 	  	3 	260.9 	750
Gランチャー-UM-3A 	5 	2 	600 	2 	接触 	  	7 	666.7 	1200
Gランチャー-UM-4A 	1 	1 	2000 	3 	接触 	  	20 	666.7 	2000
Gランチャー-UM-XA 	4 	1 	2000 	5 	接触 	  	20 	888.9 	2000
サッカーGR試作 	1 	1 	150X20 	6 	時間 	5 	5 	500 	3000
サッカーグレネード 	1 	1 	400X20 	6 	時間 	5 	7 	1333.3 	8000
サッカーグレネードD 	1 	1 	5000 	3 	時間 	5 	15 	1666.7 	5000
スプラッシュGR試作 	1 	1 	200X20 	6 	時間 	5 	5 	666.7 	4000
スプラッシュGR 	1 	1 	1000X20 	6 	時間 	5 	7 	3333.3 	20000
