name	ammo	rof	damage	reloadSeconds	radius	accuracyRank	tdps	dps	zoom
ゴリアス-1 	2 	1 	100 	1.5 	5 	B 	57.1 	100 	 
ゴリアス-D 	2 	1 	130 	1.5 	7 	B 	74.3 	130 	 
ゴリアス-DD 	2 	1 	170 	1.5 	10 	B+ 	97.1 	170 	 
ゴリアス-R 	10 	3 	100 	1.5 	2 	B+ 	207 	333.3 	 
ゴリアス-Sカスタム 	1 	1 	500 	3.0 	12 	A 	166.7 	166.7 	3倍
ゴリアス-Rカスタム 	20 	6 	150 	5 	2 	D 	621.1 	900.9 	 
ゴリアス-2 	5 	1 	350 	1.5 	7 	B+ 	269.23 	350 	 
ゴリアス-2R 	10 	6 	240 	1.5 	6 	B 	496.9 	720.7 	 
ゴリアス-99 	5 	1 	1200 	2.0 	15 	B+ 	857.1 	1200 	 
ゴリアス-SSS 	1 	1 	2000 	4.0 	20 	A+ 	500 	2000 	3倍
ボルケーノ-3A 	2 	1 	100X3 	2.0 	6 	C 	150 	300 	 
ボルケーノ-6A 	2 	1 	250X6 	2.0 	6 	C 	600 	1200 	 
ジェノサイド砲 	1 	1 	1000000 	30 	70 	B+ 	33333.3 	1000000 	 
