name	ammo	rof	damage	reloadSeconds	range	accuracyRank	tdps	dps
SG-4 	8 	1 	15X10 	4 	130 	B 	100 	150
SG-5 	8 	1 	12X20 	4 	70 	E 	160 	240
SG-6 	8 	1 	40X15 	4 	150 	A- 	400 	600
SG-7 	15 	1 	80X15 	8 	130 	B 	782.6 	1200
SG-99 	15 	1 	160X15 	8 	130 	B 	1565.2 	2400
スパローショット 	10 	4 	20X10 	3 	100 	B 	363.6 	800
スパローショットM2 	10 	10 	20X15 	5 	30 	B 	500 	3000
スパローショットM3 	15 	6 	25X15 	5 	100 	B 	750 	2250
スパローショットX 	15 	4 	60X15 	4 	150 	B- 	1741.2 	3600
ガバナーS 	8 	1 	40X50 	4 	150 	H 	1333.3 	2000
ガバナーSX 	3 	0.5 	60X100 	4 	150 	E 	1800 	3000
