name	ammo	rof	damage	reloadSeconds	range	accuracyRank	tdps	dps	zoom
SNR-227 	5 	0.6 	125 	2.0 	600 	S 	60.5 	75 	4
SNR-227R 	5 	2 	70 	2.0 	600 	SS 	77.8 	140 	4
SNR-227D 	1 	1 	250 	4.0 	800 	SSS 	62.5 	250 	8
SNR-228 	7 	0.6 	190 	2.0 	600 	A- 	97.3 	114 	6
ライサンダー1 	7 	0.3 	400 	4.0 	700 	S 	102.5 	120 	8
SNR-229 	5 	0.6 	250 	2.0 	600 	S 	121 	150 	4
SNR-229R 	20 	10 	50 	2.0 	400 	S 	250 	500 	6
SNR-230 	8 	0.6 	400 	3.0 	600 	S 	196 	240 	4
SNR-230D 	1 	1 	1000 	5.0 	800 	SSS 	200 	1000 	4
SNR-X 	20 	1.0 	600 	5.0 	800 	B+ 	480 	600 	12
ファイブスターSR 	8 	0.6 	220X5 	3.0 	500 	A 	538.9 	660.2 	4
ファイブスターSR-B 	8 	0.6 	200X5 	3.0 	2000 	A 	490 	600.2 	6
ライサンダー2 	7 	0.3 	2500 	4.0 	1000 	SSS 	640.3 	750.1 	8
ライサンダーF 	7 	0.3 	3500 	4.0 	1000 	SSS 	896.5 	1050.2 	10
