name	ammo	rof	damage	reloadSeconds	range	accuracyRank	radius	tdps	dps	zoom
バウンドガン 	120 	12 	10 	1.5 	150 	B 	  	104.3 	120 	 
バウンドガンM2 	120 	12 	15 	1.5 	150 	B 	  	133.3 	180 	 
バウンドガンS 	120 	12 	60 	1.5 	180 	D 	  	533.3 	720 	 
バウンドガンB08 	10 	5 	100 	5 	200 	A 	  	142.9 	200 	 
バウンドガンB08S 	120 	30 	100 	15.0 	180 	D 	  	631.6 	4000 	 
バウンドガンXS 	150 	15 	140 	2.0 	300 	D 	  	1235.3 	2100 	 
火炎放射器F1 	60 	6 	15 	5.0 	15 	B 	  	USO八百 	USO八百 	 
火炎放射器F2 	40 	6 	30 	5.0 	30 	B 	  	USO八百 	USO八百 	 
火炎放射器F3R 	60 	60 	90 	4.0 	60 	D 	  	USO八百 	USO八百 	ズーム1.5倍
火炎放射器F4 	30 	6 	90 	6.0 	50 	B 	  	USO八百 	USO八百 	 
火炎放射器F5 	20 	6 	150 	6.0 	90 	B 	  	USO八百 	USO八百 	 
火炎放射器F6 	150 	60 	 
