name	damage	fuseType	fuseSeconds	radius	remark
HG-01★	400	時間	5	5	最初から所持
HG-01A★	200	接触	----	5	〃
HG-02A★	250	接触	----	12	
HG-03A☆	500	接触	----	12	
HG-13A	2000	接触	----	15	飛距離極短
HG-13改	2000	時間	30	15	〃
GHG-17	1500	時間	5	10	
GHG-17A	1000	接触	----	10	
GHG-99A	2000	接触	----	10	
GHG-XA☆	2500	接触	----	12	
GHG-MAX	3500	時間	10	20	
name	ammo	rof	damage	reloadSeconds	fuseType	fuseSeconds	radius	tdps	dps	remark
GランチャーUM-1	4	2	200	2	時間	4	9	229	400	
GランチャーUM-1改☆	4	2	230	2	時間	4	9	263	460	
GランチャーUM-1A★	4	2	110	2	接触	----	5	114	220	
GランチャーUM-1A改☆	4	2	160	2	接触	----	6	183	320	
GランチャーUM-2	4	2	400	3	時間	4	11	356	800	
GランチャーUM-2A	12	7.5	100	3	接触	----	5	269	750	連射重視
GランチャーUM-3A	5	2	600	2	接触	----	7	750	1200	
GランチャーUM-3WAY☆	2	1	600*3	2	接触	----	7	1200	1800	3連装
GランチャーUM-W3☆	2	1	900*3	2.5	時間	3	12	1543	2700	〃
GランチャーUM-4A	1	1	2000	3	接触	----	20	667	2000	
GランチャーUM-XA★	4	1	2000	6	接触	----	20	889	2000	
Gランチャー-UMV2☆	4	1	2000*2	6	接触	----	20	1778	4000	V字に発射、Secret武器
サッカーGR試作	1	1	150*20	6	時間	4	8	500	3000	吸着、EASYクリア特典
サッカーグレネード	1	1	400*20	6	時間	4	10	1333	8000	吸着
サッカーグレネードD★	1	1	5000	3	時間	4	20	1665	5000	〃
スプラッシュGR試作	1	1	200*20	6	時間	5	8	667	4000	跳ねる。 NORMALクリア特典
スプラッシュGR	1	1	1000*20	6	時間	5	10	3333	20000	跳ねる。実際は10後爆発
