name	ammo	rof	damage	reloadSeconds	radius	homingRank	lockRangeRank	tdps	dps	zoom	remark
エメロードM-0	2	1	150	1.5	5	C	300	120	150		
エメロードM	2	1	150	1.5	5	C+	300	120	150		
エメロードME☆	2	1	200	1.5	5	B	600	160	200		
エメロードM-2	4	1	400	2.0	7	A	900	320	400		
ML-R	10	6	32	3	1	B-	600	71	192		
ML-R改☆	10	6	32	3	1	B	600	71	192		
ML-2R	30	10	50	5.0	1.0	S	600	190	500		
ML-2RW☆	20	10	70*2	5.0	1.0	S	600	406	1400		左右に大きく旋回
スカイタートル試作★	1	----	400	10.0	10	A	370	40	400		低速
スカイタートル試作β☆	1	----	800	10.0	20	A	370	80	800		〃
スカイタートル	1	----	4000	10.0	30	A	370	400	4000		〃
リバイアサン☆	1	----	40000	20.0	40	A	710	2000	40000		Tipsに特徴を記載、S-rare武器
プロミネンス1	1	----	1500	5.0	15	C+	600	300	1500	6倍	発射後、5秒間直進
プロミネンス2	1	----	4000	5.0	20	C+	1180	800	4000	6倍	〃
ソルリングA20	1	----	50*20	3.0	1	S	300	333	1000		射程が短い
ソルリングX	1	----	90*20	3.0	2	S	300	600	1800		〃
ルシフェルS	1	----	800*32	30.0	10	C+	1500	853	25600	6倍	上空へ向かう→分裂 HARDESTクリア特典
