name	ammo	rof	damage	reloadSeconds	range	accuracyRank	tdps	dps	remark
SG-4★	8	1	19*10	4	130	B	138	190	
SG-5★	8	1	18*20	4	70	E	274	360	
SG-5V☆	8	1	18*20	4	70	E	262	360	垂直に広く拡散
ガバナー0☆	8	1	18*25	4	70	F	327	450	拡散性重視
スパローショット	10	4	20*10	3	100	B	381	800	連射重視
SG-6	8	1	40*15	4	150	A-	436	600	
スパローショットM2	10	10	20*15	5	30	B	508	3000	短射程
ガバナーS	8	1	40*50	4	150	H	1455	2000	
SG-7	15	1	80*15	8	130	B	818	1200	
スパローショットM3	15	6	25*15	5	100	B	767	2250	
ガバナーSX	3	0.5	60*100	4	150	E	2250	3000	実際はSG-99よりも射程が短い
SG-99	15	1	160*15	8	130	B	1636	2400	
スパローショットX	15	4	60*15	4	150	B-	1800	3600	実際はもっと射程が長い（300m前後）
SG-100☆	15	1	248*15	6	130	B	2790	3720	水平に広く拡散、Secret武器
