name	ammo	rof	damage	reloadSeconds	range	accuracyRank	tdps	dps	zoom	remark
SNR-227★	5	0.6	125	2.0	600	S	72	75	4	
SNR-227R	5	2	70	2.0	600	SS	88	140	4	連射重視
SNR-227D	1	----	250	4.0	800	SSS	63	250	8	単発リロード
SNR-228	7	0.6	190	2.0	600	A-	111	114	6	
ライサンダー1	7	0.3	400	4.0	700	S	117	120	8	
SNR-229	5	0.6	250	2.0	600	S	144	150	4	弾速が速い
SNR-229R	20	10	50	2.0	400	S	256	500	6	連射重視
SNR-230	8	0.6	400	3.0	600	S	218	240	4	
SNR-230D	1	----	1000	5.0	800	SSS	200	1000	4	単発リロード
SNR-230改☆	10	1.1	400	3.0	600	S	358	440	4	
SNR-X	20	1.0	600	5.0	800	B+	500	600	12	低精度
ファイブスターSR	8	0.6	220*5	3.0	500	A	600	660	4	散弾
ファイブスターSR-B	8	0.6	200*5	3.0	2000	A	545	600	6	散弾＋反射、HARDクリア特典
ライサンダー2	7	0.3	2500	4.0	1000	SSS	729	750	8	
ライサンダーF	7	0.3	3500	4.0	1000	SSS	1021	1050	10	
ハーキュリー☆	12	0.6	2000	4.0	1000	SSS	1075	1200	10	Secret武器
ライサンダーZ☆	7	0.3	5500	4.0	1000	SSS	1604	1650	10	Secret武器
