name	ammo	rof	damage	reloadSeconds	range	accuracyRank	radius	tdps	dps	zoom
バウンドガン★	120	12	10	1.5	150	B	-	105	120	反射
バウンドガンM2	120	12	15	1.5	150	B	-	158	225	〃
バウンドガンM3☆	120	12	20	1.5	150	B	-	210	240	〃
バウンドガンS	120	12	60	1.5	180	D	-	631	720	〃＋低精度
バウンドガンB08	10	5	100	5	200	A	-	147	200	〃＋低速
バウンドガンB08S	120	30	100	15.0	180	D	-	633	4000	〃＋低精度＋低速
バウンドガンXS	150	15	140	2.0	300	D	-	1760	2100	〃＋低精度
name	ammo	rof	damageRank	reloadSeconds	range	accuracyRank	radius	tdps	dps	zoom
火炎放射器F1★	60	6	C	5.0	15	B	-			短射程
火炎放射器F2★	40	6	C+	5.0	30	B	-			
火炎放射器F3R★	60	60	B	4.0	60	D	-			ズーム1.5倍
火炎放射器F4★	30	6	B	6.0	50	B	-			
火炎放射器F5★	20	6	B+	6.0	90	B	-			
火炎放射器F6★	150	60	A	6.0	170	B	-			実際の射程距離はF5と大差ない
火炎砲☆	1500	60	C++	10	110	A	-			
灼熱火炎砲☆	1500	60	B	10	110	B	-			
マグマ火炎砲☆	1500	60	A+	8.0	110	B	-			S-rare武器
name	ammo	rof	damageRank	reloadSeconds	range	accuracyRank	radius	tdps	dps	zoom
リペアースプレーV1	10		C	9			-			射程極短
リペアースプレーV2	10		C+	9			-			
リペアースプレーV3	10		B	9			-			
リペアースプレーV4	10		B+	9			-			
リペアースプレーV5	10		A	9			-			
リペアースプレーα☆	10		A+	9			-			範囲大
リペアー・スナイパー☆	10		B	9			-			長射程、ズーム8倍
殺虫スプレーEX☆	3		ﾑｽﾞﾑｽﾞ？	10			-			ネタ武器、ズーム8倍
name	ammo	rof	damage	reloadSeconds	range	accuracyRank	radius	tdps	dps	zoom
かんしゃく玉1号	-	0.2	30*10	----	約50	----	1	60	300	
かんしゃく玉2号	-	0.2	50*30	----	約50	----	1	300	1500	
かんしゃく玉3号	-	0.2	100*30	----	約50	----	2	600	3000	
かんしゃく玉4号☆	-	0.2	90*60	----	約50	----	1.0	1080	5400	
爆殺かんしゃく玉	-	0.2	260*30	----	約50	----	4	1560	7800	ソラス用
