name	ammo	rof	damage	range	accuracyRank	reloadSeconds	energy	remark
LAZR-197	1000	60	1	120	S	2.0	20	
LARG-V	960	60	3*2	120	S	2.0	25	
LAZR-198	1100	60	2	136	S	3.0	24	
LAZR-199	1400	60	3.2	128	S	4.0	29	
LAZR-200	1000	60	5.5	100	S	3.0	26	
レーザー・チェーンソー	1060	60	20*2	120	G	2.0	26	NORMAL ALL クリア
LAZR-201	1200	60	9.8	120	S	2.5	30	
LAZR-202	1200	60	12	120	S	2.5	30	
LARG-W3	1160	60	14*3	128	S	2.0	30	
LAZR-299	1040	60	17	120	S	3.0	18	
LAZR-300	1140	60	22	160	S	4.0	26	
ARC-LAZR	1300	60	27	172	S	4.5	21	
サイクロン・レーザー	1040	60	12*8	120	S	3.0	180	ハデストＡＬＬクリア
