
E1 Plasma Launcher
Plasma Grenade A
Plasma Shot
E2 Plasma Launcher
Plasma Grenade B
E3 Plasma Launcher
Twin Plasma PLauncher
Rapid Grenade
Plasma Launcher D
E4 Plasma Launcher
Blast P Launcher
Blast grenade
Triple Plasma Launcher
D2 Plasma Launcher
Plasmafall
M15 Plasma Launcher
Wide Grenade 20
Twin Plasma Launcher R
Plasma Grenade SP
E5 Plasma Launcher
Plasma Grenade C
Twin Plasma Launcher S
EX Plasma Launcher
EX3x Plasma launcher
M30 Plasma Launcher
Wide Grenade 40
RSR Plasma Launcher
Plasma Grenade F
XSX Plasma Launcher
