name	ammo	rof	damage	range	accuracyRank	reloadSeconds	energy	remark
レイピア	500	60	3*6	30	G	0.5	25	
レーザーランス	10	1	200	49	A	2.0	20	
レイピア・スラスト	500	60	3*6	30	B-	0.5	25	
レーザーランスB	10	1	400	49	SSS	2.5	21	
M2レイピア	500	60	6*6	30	G	0.5	28	
2WAYランス	10	1	250*2	49	A	2.0	23	
バトル・ラム	1	----	2000	49	SSS	2.5	20	単発チャージ
レーザーランスRカスタム	15	2	400	49	B-	3.0	20	
M3レイピア・スラスト	600	60	9*6	30	B-	0.5	22	
MXレーザーランス	10	1	900	49	SSS	30.0	----	EN消費0
プラズマ・ウィップ	2500	60	2*10	75	K	2.0	120	
レーザーランスC	10	1	1200	35	SSS	2.0	25	
3WAYランス	10	1	390*3	48	B-	4.0	30	
MXレイピア	600	60	18*6	30	D+	20.0	----	EN消費0
バースト・ランス	20	1	1800	56	SSS	3.5	70	
レイピアGスラスト	400	60	27*6	36	C+	1.0	12	
レーザーランスX	10	1	2700	49	SSS	3.0	20	
レイピアGスラスト2	600	60	40*6	30	C+	5.0	28	
プラズマ・ウィップS	2000	60	4*20	75	K	2.0	120	
デモニック・ランス	1	----	15000	63	SSS	3.0	30	単発チャージ
4WAYランス	11	1	1100*4	49	B	4.0	26	
プラズマ・ブルーム	600	60	30*10	30	B-	3.0	34	
マスター・レイピア	800	60	40*15	30	F	0.5	26	
レーザーランスΣ	10	1.5	5000	63	SSS	1.5	16	
マスター・レイピアT	800	60	40*15	30	B-	0.5	26	
ホーリーランス	11	1	1100*12	49	B	4.0	26	
