
0	Limpet Guns
2	Limpet Gun D
8	Limpet Gun M2
18	Limpet Launcher
22	Limpet Gun M3
31	Limpet Chain Gun
43	Limpet Shot
58	Limpet Chain Gun M2
66	Limpet Gun MA
78	Limpet Gun MT
83	Limpet Heavy Gun
89	Limpet Chain Gun ZD

0	Limpet Splendor
5	Limpet Splendor D
15	Limpet Splendor M2
20	Limpet Splendor A30
26	Splendor Shot
28	Limpet Splendor M3
47	Limpet Buster
52	Limpet Splendor M9
71	Splendor Chain Gun
79	Splendor Shot AX
85	Limpet Splendor ZD

38	Limpet Detector
61	Limpet Detector ME

0	Floating Mine
