
0	Strafing Attack Plan 1A
9	Strafing Attack Plan 3A
23	Strafing Attack Plan 2A
32	Strafing Attack Plan 4A
38	Strafing Attack Plan 1B
48	Strafing Attack Plan 9
52	Strafing Attack Plan 1C
60	Strafing Attack Plan 3B
62	Strafing Attack Plan 2B
75	Strafing Attack Plan 5
77	Strafing Attack Plan 1D
80	Strafing Attack Plan 4Z

1	Air Strike Plan 1A
14	Air Strike Plan 1B
20	Air Strike Plan 2A
27	Air Strike Plan 3A
43	Air Strike Plan 4A
56	Air Strike Plan Z
58	Air Strike Plan 1C
61	Cluster Strike
71	Air Strike Plan 1S
84	Air Strike Plan 4Z
