Lv 	武器名 	ダメージ 	攻撃範囲 (半径m) 	リロード (pts) 	発射数 	進入方向 	飛行隊形 	備考
0 	機銃掃射プラン1A〔爆撃機〕 	240 	10 	150 	100*1機 	後→前 	直進 	
9 	機銃掃射プラン3A〔爆撃機〕 	240 	10 	400 	100*3機 	後→前 	3連続 	3列だが幅は狭い
23 	機銃掃射プラン2A〔爆撃機〕 	320 	10 	250 	150*2機 	後→前 	2並行 	
32 	機銃掃射プラン4A〔爆撃機〕 	500 	10 	500 	100*4機 	後→前 狭角の扇形 	4連続 発煙筒上空で交差 	
38 	機銃掃射プラン1B〔爆撃機〕 	600 	10 	200 	100*1機 	後→前 	直進 	
48 	機銃掃射プラン9〔爆撃機〕 	650 	10 	1000 200 	50*9機 	周囲9方向 	発煙筒上空で交差 	実際の要請ポイントは200 switch版では修正された
52 	機銃掃射プラン1C〔爆撃機〕 	800 	10 	200 	150*1機 	後→前 	直進 	
60 	機銃掃射プラン3B〔爆撃機〕 	1200 	10 	400 	120*3機 	後→前 	3並行 	
62 	機銃掃射プラン2B〔爆撃機〕 	1400 	10 	250 	150*2機 	後→前 	2並行 	
75 	機銃掃射プラン5〔爆撃機〕 	1500 	10 	600 	100*5機 	後→前 	5列連続 	
77 	機銃掃射プラン1D〔爆撃機〕 	2000 	10 	150 	200*1機 	後→前 	直進 	
80 	機銃掃射プラン4Z〔爆撃機〕 	2000 	10 	300 	150*4機 	後→前 	4並行 	
Lv 	武器名 	ダメージ 	攻撃範囲 (半径m) 	リロード (pts) 	発射数 	進入方向 	飛行隊形 	備考
1 	爆撃プラン1A〔爆撃機〕 	210 	10 	1300 	10*1機 	後→前 	直進 	
14 	爆撃プラン1B〔爆撃機〕 	300 	12 	1300 	20*1機 	後→前 	直進 	
20 	爆撃プラン2A〔爆撃機〕 	450 	15 	1300 	10*2機 	斜後→斜前 	発煙筒上空で交差 	
27 	爆撃プラン3A〔爆撃機〕 	360 	15 	1300 	20*3機 	右→左 	3並行 	
43 	爆撃プラン4A〔爆撃機〕 	550 	15 	500 	20*4機 	後→前 	4並行 	
56 	爆撃プランZ〔爆撃機〕 	900 	10 	1800 	5*10機 	右→左 	10連続 	
58 	爆撃プラン1C〔爆撃機〕 	1200 	15 	1000 	20*1機 	後→前 	直進 	
61 	クラスター弾〔爆撃機ミッドナイト〕 	1000 	50 	1300 	50*1機 	後→前 	直進 	落下が遅い
71 	爆撃プラン1S〔爆撃機〕 	4300 	50 	1300 	10*1機 	右→左 	直進 	
84 	爆撃プラン4Z〔爆撃機〕 	2200 	15 	1000 	10*4機 	斜後→斜前 扇型 	4連続 発煙筒上空で交差 	
