Lv 	武器名 	弾数 	ダメージ 	リロード (sec) 	TTFP 	PTFP 	備考
3 	シーザー・ワイヤー 	3 	3*5 	6.7 	22 	6 	
8 	ラピッドファイア・ワイヤー 	12 	7 	7.0 	42 	10 	
16 	スカイトラップ・ワイヤー 	3 	5*8 	6.7 	60 	15 	
26 	ワイヤー・ショット 	1 	17*24 	13.3 	- 	31 	
44 	スカイトラップ・ワイヤー12W 	3 	10*12 	6.7 	180 	45 	
55 	ラピッドファイア・ワイヤーDA 	12 	50 	7.0 	300 	68 	
68 	シーザー・ワイヤーZD 	3 	26*12 	6.7 	468 	117 	
80 	スカイトラップ・ワイヤー16W 	3 	40*16 	6.7 	960 	239 	
Lv 	武器名 	設置数 	耐久度 	効果時間 (sec) 	リロード (sec) 	備考
2 	ピュアデコイ・ランチャー〔アンジュ〕 	3 	40 	20 	30 	射出式 D3P WEBSHOP 特典
8 	デコイ-A型 	3 	120 	90 	20 	赤陸戦
29 	デコイ-B型 	3 	1600 	90 	20 	青ペリコ
63 	デコイ-O型 	4 	4000 	120 	20 	青陸戦
82 	デコイ-AB型 	3 	16000 	90 	30 	紫ペリコ
Lv 	武器名 	設置数 	耐久度 	リロード (sec) 	備考
1 	電磁トーチカ 	4 	300 	20.0 	
13 	対空防護トーチカ 	3 	1000 	20.0 	縦長
21 	ワイドウォールトーチカ 	1 	2400 	20.0 	横長
32 	電磁トーチカM2 	5 	5000 	20.0 	青。5枚重ねると視界が悪い
40 	パーソナル シェルター 	1 	12000 	20.0 	狭い
56 	電磁プリズン 	3 	12000 	10.0 	敵方向に発生。赤。高くて長い
69 	対空防護トーチカME 	2 	30000 	20.0 	青。とても高い
72 	電磁トーチカGH 	5 	20000 	40.0 	赤
78 	ボーダーライン 	2 	60000 	40.0 	青。幅広
88 	電磁城壁 	1 	100000 	40.0 	青。広くて高い
89 	アブソリュートトーチカ 	5 	30000 	30.0 	赤
