
0	Life Vendor
11	Life Vendor M2
36	Life Vendor M3
50	Life Vendor MH
77	Life Vendor ZD

19	Life Spout Gun
27	Life Spout Gun M2
61	Life Spout Gun M3
79	Life Spout Gun ZM

0	Plasma Charger
14	Plasma Charger M2
29	Plasma Streamer
45	Plasma Charger M3
70	Plasma Streamer DA
78	Plasma Charger ZM

4	Plasma Battery Gun
54	Plasma Battery Gun M2
86	Plasma Battery Gun ZM

10	Power Post 
25	Post Post M2
58	Offensive Territory
84	Post Post ZM

2	Post Assist Gun
35	Post Assist Gun M2
66	Post Assist Gun MG

1	Guard Post
17	Guard Post M2
31	Zone Protector
64	Guard Post M3
75	Zone Protector ZM

5	Guard Assist Gun
42	Guard Assist Gun G
