Lv 	武器名 	弾数 	連射速度 (発/sec) 	ダメージ 	リロード (sec) 	射程距離 (m) 	精度 	ズーム (倍率) 	TTFP 	PTFP 	備考
0 	SNR-227 	5 	0.6 	125 	2 	600 	S 	4 	72 	75 	●
2 	SNR-227R 	5 	2 	70 	2 	600 	SS 	4 	88 	140 	連射型
4 	SNR-227D 	1 	1 	250 	4 	800 	SSS 	8 	63 	250 	
6 	SNR-228 	7 	0.6 	190 	2 	600 	A- 	6 	111 	114 	● 低精度
17 	SNR-229 	5 	0.6 	250 	2 	600 	S 	4 	144 	150 	
22 	SNR-229R 	20 	10 	50 	2 	400 	S 	6 	256 	500 	連射型
28 	SNR-230 	8 	0.6 	400 	3 	600 	S 	4 	218 	240 	●
36 	SNR-230D 	1 	1 	1000 	5 	800 	SSS 	4 	200 	1000 	
41 	SNR-X 	20 	1 	600 	5 	800 	B+ 	12 	500 	600 	● 低精度
42 	SNR-230改 	10 	1.1 	400 	3 	600 	S 	4 	358 	440 	●
85 	ハーキュリー 	12 	0.6 	2000 	4 	1000 	SSS 	10 	1075 	1200 	
Lv 	武器名 	弾数 	連射速度 (発/sec) 	ダメージ 	リロード (sec) 	射程距離 (m) 	精度 	ズーム (倍率) 	TTFP 	PTFP 	備考
13 	ライサンダー1 	7 	0.3 	400 	4 	700 	S 	8 	117 	120 	
51 	ライサンダー2 	7 	0.3 	2200 	4 	1000 	SSS 	8 	642 	660 	●
70 	ライサンダーF 	7 	0.3 	3500 	4 	1000 	SSS 	10 	1021 	1050 	
90 	ライサンダーZ 	7 	0.3 	5500 	4 	1000 	SSS 	10 	1604 	1650 	
Lv 	武器名 	弾数 	連射速度 (発/sec) 	ダメージ 	リロード (sec) 	射程距離 (m) 	精度 	ズーム (倍率) 	TTFP 	PTFP 	備考
47 	ファイブスターSR 	8 	0.6 	220*5 	3 	500 	A 	4 	600 	660 	
SP 	ファイブスターSR-B 	8 	0.6 	200*5 	3 	2000 	A 	6 	545 	600 	HARD特典、反射弾を発射
