
2	Pure Decoy Launcher [Chiri]

0	Bound Gun 
9	Bound Gun M2
15	Bound Gun M3
25	Bound Gun B08
35	Bound Gun S
48	Bound Gun B08S
65	Bound Gun XS

2	Flamethrower F1
7	Flamethrower F2
10	Flame Cannon
15	Flamethrower F3R
25	Flamethrower F4
32	Blaze Cannon
41	Flamethrower F5
65	Flamethrower F6
65	Magma Cannon

1	Reverser M1
28	Reverser M2
42	Reverser M3
70	Reverser X

7	Aerial Reverser 1
20	Aerial Reverser 2
62	Aerial Reverser 3
82	Aerial Reverser X

12	Reverse Gun
35	Reverse Shooter T1
47	Reverse Bomber
55	Reverse Shooter T2
77	Reverse Shooter X

80	Insecticide Spray EX

5	Firecracker 1
20	Firecracker 2
27	Firecracker 3
42	Firecracker 4
55	Burst Firecracker 
75	Spread Grenade

1	C20 Bomb
16	C24 Bomb
33	C25 Special Bomb
46	C30 Bomb
66	C70 Bomb

0	Y9 Impulse
3	Y9 Anti-Aircraft Impulse
7	Y10 Impulse
13	Y10 Anti-Aircraft Impulse
21	Y10 Wide Impulse
30	Y11 Impulse
44	Y11 Anti-Aircraft Impulse
48	Y20 Impulse
63	YDX Anti-Aircraft Impulse
71	YDX Strike Impulse
76	Y21 Impulse
