Lv 	武器名 	弾数 	連射速度 (発/sec) 	ダメージ 	射程距離 (m) 	精度 	チャージ (sec) 	消費EN (%) 	PTFP 	備考
0 	LAZR-197 	1000 	60 	1.5 	120 	S 	2.0 	20 	90 	●
6 	LAZR-198 	1100 	60 	3 	136 	S 	3.0 	24 	180 	●
15 	LAZR-199 	1400 	60 	4.6 	128 	S 	4.0 	29 	276 	●
20 	LAZR-200 	1000 	60 	7 	100 	S 	3.0 	26 	420 	
32 	LAZR-201 	1200 	60 	9.8 	120 	S 	2.5 	30 	588 	●
40 	LAZR-202 	1200 	60 	12 	130 	S 	2.5 	30 	720 	
55 	LAZR-299 	1040 	60 	17 	140 	S 	3.0 	18 	1020 	●
65 	LAZR-300 	1140 	60 	22 	160 	S 	4.0 	26 	1320 	
75 	ARC-LAZR 	1300 	60 	27 	172 	S 	4.5 	21 	1620 	
81 	SIG-LAZR 	1500 	60 	35 	172 	S 	4.5 	18 	2100 	☆●
Lv 	武器名 	弾数 	連射速度 (発/sec) 	ダメージ 	射程距離 (m) 	精度 	チャージ (sec) 	消費EN (%) 	PTFP 	備考
3 	LARG-V 	960 	60 	1.5*2 	120 	S 	2.0 	25 	180 	● V字型に発射
45 	LARG-W3 	1160 	60 	14*3 	128 	S 	2.0 	35 	2520 	●
Lv 	武器名 	弾数 	連射速度 (発/sec) 	ダメージ 	射程距離 (m) 	精度 	チャージ (sec) 	消費EN (%) 	PTFP 	備考
SP 	レーザー・チェーンソー 	1060 	60 	20*2 	120 	G 	2.5 	26 	2400 	● NORMAL特典
Lv 	武器名 	弾数 	連射速度 (発/sec) 	ダメージ 	射程距離 (m) 	精度 	チャージ (sec) 	消費EN (%) 	PTFP 	備考
SP 	サイクロン・レーザー 	1040 	60 	12*8 	120 	S 	3.0 	180 	5760 	HARDEST特典
