
0	E1 Plasma Launcher
0	E2 Plasma Launcher
2	E3 Plasma Launcher
10	D Plasma Launcher
10	E4 Plasma Launcher
15	Blast Launcher

20	D2 Plasma Launcher
36	E5 Plasma Launcher
45	EX Plasma Launcher
62	RSR Plasma Launcher
92	RZR Plasma Launcher

5	Dual Plasma Launcher
17	3× Plasma Launcher
25	M15 Plasma Launcher
29	Twin Plasma Launcher R
41	Twin Plasma Launcher S
50	EX3× Plasma Launcher
55	M30 Plasma Launcher
67	XSX Plasma Launcher

0	Plasma Shot

25	Plasmafall
87	Plasmafall Σ

0	Plasma Grenade A
1	Plasma Grenade B
5	Rapid Grenade
16	Blast Grenade
32	Plasma Grenade SP
40	Plasma Grenade C
65	Plasma Grenade F
80	Plasma Grenade Σ

26	Wide Grenade 20
60	Wide Grenade 40
