Lv 	武器名 	連射速度 (発/sec) 	ダメージ 	射程距離 (m) 	爆破範囲 (半径m) 	精度 	消費EN (%) 	PTFP 	備考
0 	E1プラズマ・ランチャー 	1 	90 	1800 	10 	B 	16 		
0 	E2プラズマ・ランチャー 	1 	150 	2400 	10 	B 	16 		●
2 	E3プラズマ・ランチャー 	1 	210 	2000 	10 	B 	18 		●
10 	D型プラズマ・ランチャー 	1 	400 	300 	15 	B 	18 		急速に落下する
10 	E4プラズマ・ランチャー 	1 	260 	2400 	12 	A- 	16 		
15 	ブラスト・ランチャー 	2 	1000 	720 	20 	B 	120 		弾速が早く、直進する
発射すると緊急チャージ確定
20 	D2プラズマ・ランチャー 	1 	260 	1320 	15 	B 	20 		弾速が遅く、ほぼ直進する
36 	E5プラズマ・ランチャー 	1 	520 	1200 	15 	B 	21 		●
45 	EXプラズマ・ランチャー 	1 	650 	900 	25 	A 	31 		弾速がとても早く、直進する
62 	RSRプラズマ・ランチャー 	3 	1000 	1200 	15 	B 	14 		連射型
92 	RZRプラズマ・ランチャー 	1 	4500 	1600 	25 	B 	15 		☆ 弾速が早い
Lv 	武器名 	連射速度 (発/sec) 	ダメージ 	射程距離 (m) 	爆破範囲 (半径m) 	精度 	消費EN (%) 	PTFP 	備考
5 	2連プラズマ・ランチャー 	1 	100*2 	1200 	10 	B 	15 		V字型に発射
17 	3連プラズマ・ランチャー 	1 	140*3 	1100 	10 	B 	20 		●
25 	M15プラズマ・ランチャー 	1 	70*15 	420 	2 	A+ 	24 		弾速がとても速く、直進する
29 	2連プラズマ・ランチャーR 	2 	200*2 	1000 	7 	B 	9 		V字型に発射、弾速が早い
41 	2連プラズマ・ランチャーS 	2 	310*2 	1000 	7 	B 	9 		V字型に発射、弾速が早い
50 	EX3連プラズマ・ランチャー 	1 	650*3 	900 	20 	B- 	49 		弾速がとても早く、直進する
55 	M30プラズマ・ランチャー 	1 	260*30 	420 	5 	A+ 	26 		弾速がとても速く、直進する
67 	XSXプラズマ・ランチャー 	1 	1500*4 	900 	22 	A 	41 		
Lv 	武器名 	連射速度 (発/sec) 	ダメージ 	射程距離 (m) 	爆破範囲 (半径m) 	精度 	消費EN (%) 	PTFP 	備考
0 	プラズマ・ショット 	1 	7*10 	400 	2 	B- 	8 		●
Lv 	武器名 	連射速度 (発/sec) 	ダメージ 	射程距離 (m) 	爆破範囲 (半径m) 	精度 	消費EN (%) 	PTFP 	備考
25 	プラズマ・フォール 	1 	400 	1100 	15 	B 	13 		
87 	プラズマ・フォールΣ 	0.25 	2500*6 	1200 	30 	A 	75 		☆ 弾速がとても早い
Lv 	武器名 	ダメージ 	起爆条件 	起爆時間 	爆破範囲 (m) 	チャージ (sec) 	PTFP 	備考
0 	プラズマ・グレネードA 	250 	接触 	- 	7 	4 		● 弾速がとても遅い
1 	プラズマ・グレネードB 	260 	接触 	- 	10 	5 		● 弾速がとても遅い
5 	ラピッド・グレネード 	320 	接触 	- 	5 	3 		● 弾速が早く、すぐに落下する
16 	ブラスト・グレネード 	1000 	接触 	- 	15 	20 		弾速が遅い
32 	プラズマ・グレネードSP 	200 	接触 	- 	20 	3 		● 弾速が早く、すぐに落下する
40 	プラズマ・グレネードC 	650 	接触 	- 	15 	5 		弾速がとても早く、すぐに落下する
65 	プラズマ・グレネードF 	2300 	接触 	- 	15 	5 		すぐに落下する
80 	プラズマ・グレネードΣ 	3200 	接触 	- 	17 	3 		☆ すぐに落下する
Lv 	武器名 	ダメージ 	起爆条件 	起爆時間 	爆破範囲 (m) 	チャージ (sec) 	PTFP 	備考
26 	ワイド・グレネード20 	65*20 	接触 	- 	2 	10 		●
60 	ワイド・グレネード40 	400*40 	接触 	- 	5 	10 		
