
0	Rapier
10	M2 Rapier
72	Master Rapier

5	Rapier Thrust
20	M3 Rapier Thrust
35	MX Rapier
45	Rapier G Thrust
52	Rapier G Thrust 2
65	Plasma Sweeper
82	Master Rapier T

30	Plasma Whip
57	Plasma Whip S

0	Laser Lance
7	Laser Lance B
17	Laser Lance R Custom
25	MX Laser Lance
30	Laser Lance C
40	Burst Lance
50	Laser Lance X
75	Laser Lance Σ
90	Hreimdarr

12	2-Way Lance
32	3-Way Lance
62	4-Way Lance
78	Sacred Lance
87	Luonottar

15	Battle Ram
60	Demonic Lance

2	Spark Lancer
47	Spark Lance
80	Spark Lance ZA
