Lv 	武器名 	弾数 	連射速度 (発/sec) 	ダメージ 	射程距離 (m) 	精度 	チャージ (sec) 	消費EN (%) 	PTFP 	備考
0 	レイピア 	500 	60 	1*6 	30 	G 	0.5 	25 	360 	● 初期装備
10 	M2レイピア 	500 	60 	2*6 	30 	G 	0.5 	28 	720 	●
72 	マスター・レイピア 	800 	60 	20*15 	30 	F 	0.5 	26 	18000 	●
Lv 	武器名 	弾数 	連射速度 (発/sec) 	ダメージ 	射程距離 (m) 	精度 	チャージ (sec) 	消費EN (%) 	PTFP 	備考
5 	レイピア・スラスト 	500 	60 	1*6 	30 	B- 	0.5 	25 	360 	●
20 	M3レイピア・スラスト 	600 	60 	3*6 	30 	B- 	0.5 	22 	3240 	●
35 	MXレイピア 	600 	60 	6*6 	30 	D+ 	20.0 	- 	6480 	● エネルギーユニット内蔵
45 	レイピアGスラスト 	400 	60 	10*6 	36 	C+ 	1.0 	12 	3600 	●
52 	レイピアGスラスト2 	600 	60 	20*6 	30 	C+ 	5.0 	28 	7200 	●
65 	プラズマ・ブルーム 	600 	60 	15*10 	30 	B- 	3.0 	34 	9000 	●
82 	マスター・レイピアT 	800 	60 	20*15 	30 	B- 	0.5 	26 	18000 	●
Lv 	武器名 	弾数 	連射速度 (発/sec) 	ダメージ 	射程距離 (m) 	精度 	チャージ (sec) 	消費EN (%) 	PTFP 	備考
30 	プラズマ・ウィップ 	2500 	60 	2*10 	75 	K 	2.0 	120 	1200 	
57 	プラズマ・ウィップS 	2000 	60 	4*20 	75 	K 	2.0 	120 	4800 	
Lv 	武器名 	弾数 	連射速度 (発/sec) 	ダメージ 	射程距離 (m) 	精度 	チャージ (sec) 	消費EN (%) 	PTFP 	備考
0 	レーザーランス 	10 	1 	200 	56 	A 	2.0 	20 	200 	●
7 	レーザーランスB 	10 	1 	400 	73.5 	SSS 	2.5 	21 	400 	●
17 	レーザーランスRカスタム 	15 	2 	400 	73.5 	B- 	3.0 	20 	800 	●
25 	MXレーザーランス 	10 	1 	900 	84 	SSS 	30.0 	- 	900 	● エネルギーユニット内蔵
30 	レーザーランスC 	10 	1 	1200 	35 	SSS 	2.0 	25 	1200 	短射程
40 	バースト・ランス 	20 	1 	1800 	84 	SSS 	3.5 	70 	1800 	●
50 	レーザーランスX 	10 	1 	2700 	73.5 	SSS 	3.0 	20 	2700 	●
75 	レーザーランスΣ 	10 	1.5 	5000 	94.5 	SSS 	1.5 	16 	7500 	●
90 	フレイドマル 	12 	1.5 	6000 	90 	SSS 	1.5 	25 	9000 	●
Lv 	武器名 	弾数 	連射速度 (発/sec) 	ダメージ 	射程距離 (m) 	精度 	チャージ (sec) 	消費EN (%) 	PTFP 	備考
12 	2WAYランス 	10 	1 	250*2 	49 	A 	2.0 	23 	500 	●
32 	3WAYランス 	10 	1 	390*3 	63 	B- 	4.0 	30 	1170 	● 垂直に拡散
62 	4WAYランス 	11 	1 	1100*4 	56 	B 	4.0 	26 	4400 	●
78 	ホーリーランス 	11 	1 	800*12 	56 	B 	4.0 	26 	9600 	●
87 	ルオンノタル 	10 	1.5 	1600*6 	63 	SSS 	3.0 	30 	14400 	●
Lv 	武器名 	弾数 	連射速度 (発/sec) 	ダメージ 	射程距離 (m) 	精度 	チャージ (sec) 	消費EN (%) 	PTFP 	備考
15 	バトル・ラム 	1 	- 	2000 	49 	SSS 	2.5 	20 	2000 	
60 	デモニック・ランス 	1 	- 	15000 	94.5 	SSS 	3.0 	30 	15000 	●
Lv 	武器名 	弾数 	連射速度 (発/sec) 	ダメージ 	射程距離 (m) 	精度 	チャージ (sec) 	消費EN (%) 	PTFP 	備考
2 	スパークランサー 	10 	1 	100*6 	34 	A 	1.5 	30 	600 	○ W入隊パック 特典A
47 	スパーク・ランス 	10 	1 	200*7 	38 	A 	1.5 	28 	1400 	○
80 	スパーク・ランスZA 	10 	1 	800*8 	72 	A 	1.5 	20 	6400 	○
